gene,coef,abs_coef
NUP210,1.5034629882755228,1.5034629882755228
SIK2,-1.4756435483401236,1.4756435483401236
AURKB,-1.3113904788608965,1.3113904788608965
PLXNA4,-1.2680913946713221,1.2680913946713221
CDC25C,1.136528185230088,1.136528185230088
KIF23,-1.1322689945206128,1.1322689945206128
ADAMTS5,-1.1145875460959465,1.1145875460959465
CLEC5A,1.1026861588872878,1.1026861588872878
PALMD,-1.0725759945962638,1.0725759945962638
GSN,-1.066492382340983,1.066492382340983
CKAP2L,1.0628581050658619,1.0628581050658619
SPTBN1,1.0525703545746288,1.0525703545746288
CLEC3B,-1.0455774611365112,1.0455774611365112
DTL,0.9927270649330804,0.9927270649330804
SEMA3G,0.9650875260771953,0.9650875260771953
FZD4,0.9531080067762336,0.9531080067762336
PPAPDC1A,-0.9438223295067042,0.9438223295067042
PPAP2A,0.9321826063036075,0.9321826063036075
CEP68,0.9295739935320979,0.9295739935320979
AQPEP,0.8878920643755309,0.8878920643755309
PPAP2B,-0.8691413439908899,0.8691413439908899
NACC1,0.8434396409529119,0.8434396409529119
LMNB1,-0.8383328596348724,0.8383328596348724
SLC35A2,0.8285106791907775,0.8285106791907775
ACO1,0.8263507761712897,0.8263507761712897
CAV2,-0.813975916389658,0.813975916389658
SPC25,0.8049821652903659,0.8049821652903659
PRC1,0.7884922489134986,0.7884922489134986
CCDC64,0.7614183471605023,0.7614183471605023
CENPA,-0.7520423043685589,0.7520423043685589
CEP55,-0.7458948130258822,0.7458948130258822
MAP1LC3C,-0.744358857045712,0.744358857045712
HBA1,0.7379942844034859,0.7379942844034859
PAFAH1B3,0.734321188066582,0.734321188066582
LOC283867,0.7325959164653703,0.7325959164653703
ASF1B,0.7268024928061142,0.7268024928061142
MYOC,0.717955282726539,0.717955282726539
FAM13A,-0.7163907279113355,0.7163907279113355
GPBAR1,-0.7105611150295144,0.7105611150295144
DEPDC1,-0.7020830550879874,0.7020830550879874
UHRF1,0.6943600526729478,0.6943600526729478
HJURP,-0.6806860359465127,0.6806860359465127
LYVE1,0.6506454355893749,0.6506454355893749
SDPR,-0.650557484382804,0.650557484382804
CCDC69,-0.6265085102480141,0.6265085102480141
ACSL1,-0.6145644854106945,0.6145644854106945
CAT,0.6141437613084738,0.6141437613084738
CCDC50,-0.6123952247485354,0.6123952247485354
PLIN1,0.6028940955233045,0.6028940955233045
ACSM5,0.5890561618535046,0.5890561618535046
APOB,-0.5862020721387136,0.5862020721387136
CDO1,0.5809664715791838,0.5809664715791838
E2F8,0.5654445156190127,0.5654445156190127
KIAA0101,-0.5644782502974646,0.5644782502974646
NCAPG,0.5587468676541468,0.5587468676541468
CTXN1,-0.5541510312590486,0.5541510312590486
CHRDL1,-0.5505103689299453,0.5505103689299453
GABRD,-0.5381406299888629,0.5381406299888629
CCNA2,0.5379146852048453,0.5379146852048453
PLAC1,0.5333284996993604,0.5333284996993604
HBA2,-0.532047828015027,0.532047828015027
TLN2,0.5261721330928518,0.5261721330928518
MMP11,-0.5235616281622545,0.5235616281622545
ARHGAP20,0.5208600952720235,0.5208600952720235
MMD,-0.5184987973626995,0.5184987973626995
LOC286367,-0.5148445212175171,0.5148445212175171
SEMA5B,0.5110096578301433,0.5110096578301433
GPX3,-0.5080239276229027,0.5080239276229027
FAM64A,-0.5027142206730165,0.5027142206730165
BTNL9,0.502020935353396,0.502020935353396
KIF14,-0.495443709014525,0.495443709014525
SH3D19,0.4894530864333292,0.4894530864333292
ITGA7,-0.4885442933181766,0.4885442933181766
ALDH1L1,-0.4868979153184693,0.4868979153184693
CDKN3,-0.4852882251719298,0.4852882251719298
TTK,0.47474458327576236,0.47474458327576236
LOC283392,0.46774665146231886,0.46774665146231886
H2AFY,0.4583814821700987,0.4583814821700987
CDK1,0.45797432774438446,0.45797432774438446
PLIN4,0.4558346896765981,0.4558346896765981
BIRC5,-0.4460798505674582,0.4460798505674582
ADH5,0.4388431116972854,0.4388431116972854
GPD1,-0.43574998187891434,0.43574998187891434
AURKA,-0.4308650752584822,0.4308650752584822
FXYD1,-0.42750367895149877,0.42750367895149877
SHCBP1,-0.4239596424951789,0.4239596424951789
CCNB1,0.42273614264255016,0.42273614264255016
