gene,coef,abs_coef
NUP210,1.5034629882755228,1.5034629882755228
SIK2,-1.4756435483401236,1.4756435483401236
AURKB,-1.3113904788608965,1.3113904788608965
PLXNA4,-1.2680913946713221,1.2680913946713221
CDC25C,1.136528185230088,1.136528185230088
KIF23,-1.1322689945206128,1.1322689945206128
ADAMTS5,-1.1145875460959465,1.1145875460959465
CLEC5A,1.1026861588872878,1.1026861588872878
PALMD,-1.0725759945962638,1.0725759945962638
GSN,-1.066492382340983,1.066492382340983
CKAP2L,1.0628581050658619,1.0628581050658619
SPTBN1,1.0525703545746288,1.0525703545746288
CLEC3B,-1.0455774611365112,1.0455774611365112
DTL,0.9927270649330804,0.9927270649330804
SEMA3G,0.9650875260771953,0.9650875260771953
FZD4,0.9531080067762336,0.9531080067762336
PPAPDC1A,-0.9438223295067042,0.9438223295067042
PPAP2A,0.9321826063036075,0.9321826063036075
CEP68,0.9295739935320979,0.9295739935320979
AQPEP,0.8878920643755309,0.8878920643755309
PPAP2B,-0.8691413439908899,0.8691413439908899
NACC1,0.8434396409529119,0.8434396409529119
LMNB1,-0.8383328596348724,0.8383328596348724
SLC35A2,0.8285106791907775,0.8285106791907775
ACO1,0.8263507761712897,0.8263507761712897
